#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
380307:9585,05/02/24 21:33:27,21,21,0.009867059,0.008454228
380308:9585,05/02/24 21:44:38,35,35,0.016499961,0.013843322
380309:9585,05/02/24 22:01:23,351,351,0.165071302,0.153576608
380310:9585,05/03/24 00:19:19,1131,1131,0.392015069,0.378789764
380346:9593,05/03/24 16:31:34,581,581,0.255129282,0.233418996
380348:9593,05/03/24 20:21:15,347,346,0.142985505,0.133562034
380349:9593,05/03/24 22:39:04,695,695,0.217271587,0.210590121
380360:9594,05/04/24 06:56:16,1941,1941,0.702543918,0.676261083
380377:9602,05/04/24 23:50:36,420,420,0.184216712,0.174183811
380384:9603,05/05/24 06:57:47,759,759,0.340355503,0.318996325
380385:9603,05/05/24 11:54:10,1247,1247,0.405264175,0.391227837
380399:9604,05/05/24 23:17:17,519,519,0.225082849,0.213669905
380400:9604,05/06/24 02:40:48,71,71,0.033387454,0.031223434
380401:9604,05/06/24 03:11:16,10,10,0.005422000,0.004038557
380403:9604,05/06/24 03:18:17,259,259,0.112765131,0.107326864
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#44,107,39681,39678,10.789829227,10.237030286
#Check JSON:
#(run,ls) in json but not in results: []
